ID,"User ID",Service,Amount,"Transfer Date & Time",Comment,Type,Source
163wa7fvk.32997773,live:.cid.9df920aaf9dfa0c9,skype,1,"February 25, 2024, 09:27 ","Payment forwarded from heythere543210a",Received,Call
163tnjiow.32996183,live:.cid.9df920aaf9dfa0c9,skype,5,"February 25, 2024, 06:50 ","Payment forwarded from twmmason",Received,Call
163lb46u8.32991137,live:.cid.1fab5bfda11bd34e,skype,7,"February 24, 2024, 23:31 ","Payment forwarded from Rickjames69",Received,Call
163h2rd4w.32988578,live:.cid.5272a30dd88ff974,skype,10.72,"February 24, 2024, 19:14 ","Payment forwarded from skypeboy176",Received,Call
1638hre68.32983388,live:.cid.40a4d201fc8921df,skype,33.5,"February 24, 2024, 13:15 ","Payment forwarded from lanceamerica",Received,Call
1631dt57k.32979089,live:.cid.939ac31033487b7b,skype,20,"February 24, 2024, 08:00 ","Payment forwarded from Tonyjj98",Received,Call
162xcry8w.32976653,live:.cid.1fab5bfda11bd34e,skype,11,"February 24, 2024, 04:18 ","Payment forwarded from nikki22",Received,Call
162x4qlkw.32976518,live:.cid.1fab5bfda11bd34e,skype,2,"February 24, 2024, 04:03 ","Payment forwarded from nikki22",Received,Call
162x4dqm8.32976512,live:.cid.d4da948d9afdb2cc,skype,59,"February 24, 2024, 04:03 ","Payment forwarded from torinibry",Received,
162w2vfi8.32975882,live:.cid.1fab5bfda11bd34e,skype,20,"February 24, 2024, 03:06 ","Payment forwarded from live:.cid.73f327bc7f4aa8a",Received,Call
162otx528.32971499,live:.cid.464037ec34cc155a,skype,180,"February 23, 2024, 19:49 ","Payment forwarded from newoldman4",Received,Call
162ns1yzk.32970863,services:promoted,skype,-40,"February 23, 2024, 19:01 ","Payment ads bid for model ZahiraBell",Sent,Video
162k73hcw.32968697,live:.cid.56b20e95cafc509f,skype,1,"February 23, 2024, 16:30 ","Payment forwarded from devs89085302",Received,Call
162j89mgw.32968112,live:.cid.40a4d201fc8921df,skype,22.78,"February 23, 2024, 15:41 ","Payment forwarded from frankwolfgang",Received,Call
162bf4qm8.32963390,live:.cid.26fbb818299011f4,skype,1,"February 23, 2024, 10:50 ","Payment forwarded from puer__nl1",Received,Call
162af8au8.32962787,live:.cid.d4da948d9afdb2cc,skype,47,"February 23, 2024, 10:07 ","Payment forwarded from thistrump1987",Received,
1629av40w.32962109,live:.cid.40a4d201fc8921df,skype,12.06,"February 23, 2024, 09:11 ","Payment forwarded from live:terranosaurus",Received,Call
16298wdq8.32962076,live:.cid.f4c3d211e2373f7c,skype,3.4,"February 23, 2024, 09:07 ","Payment forwarded from Welwelwelwelwelwel",Received,Call
16292trcw.32961974,live:.cid.40a4d201fc8921df,skype,2.68,"February 23, 2024, 09:01 ","Payment forwarded from live:terranosaurus",Received,Call
16291r6gw.32961956,live:.cid.40a4d201fc8921df,skype,4.02,"February 23, 2024, 08:59 ","Payment forwarded from live:terranosaurus",Received,Call
1628s3ygw.32961794,live:.cid.26fbb818299011f4,skype,6,"February 23, 2024, 08:41 ","Payment forwarded from dazthomson1",Received,Call
1627gf4ww.32960993,live:.cid.9df920aaf9dfa0c9,skype,4,"February 23, 2024, 07:25 ","Payment forwarded from mihaperic",Received,Call
16278ds8w.32960858,live:.cid.9df920aaf9dfa0c9,skype,14,"February 23, 2024, 07:11 ","Payment forwarded from dhtobin",Received,Call
1621h6xq8.32957378,live:.cid.f4c3d211e2373f7c,skype,13.6,"February 23, 2024, 01:34 ","Payment forwarded from darkzone35@hotmail.com",Received,Call
161oa30zk.32949398,live:.cid.9df920aaf9dfa0c9,skype,11,"February 22, 2024, 13:43 ","Payment forwarded from petertomi",Received,Call
161nyh2ow.32949203,live:.cid.9df920aaf9dfa0c9,skype,10,"February 22, 2024, 13:27 ","Payment forwarded from miloj7007",Received,Call
